archivo,material,rugosidad,rugosidad_rms,asimetria,curtosis,espesor_promedio,altura_maxima,altura_minima,num_islas,densidad_islas,cobertura_fraccional,energia_difusion,tasa_eventos,energia_promedio,etapa,cobertura_10,cobertura_20,cobertura_30,cobertura_60
Cr_3d_altura_c001_s006_ed0.22_te50000._ep 2.0.dat,Cr,9.42944151898722,18.16066078092975,-0.38123494195865454,-1.0849914426706748,15.5208,30.0,0.0,1,0.0004,83.91999999999999,0.22,50000.0,0.0,crecimiento,70.12,37.24,0.0,0.0
Cr_3d_altura_c006_s002_ed0.06_te50000._ep 2.0.dat,Cr,4.583655065556308,6.178672996687881,0.6889238037516469,-0.7433235568093122,4.1432,19.0,0.0,12,0.0048,53.36,0.06,50000.0,0.0,coalescencia,11.72,0.0,0.0,0.0
Fe_3d_altura_c005_s003_ed0.90_te50000._ep 2.0.dat,Fe,6.42254434317117,9.897272351511804,0.25711544209502074,-1.111163080053987,7.5304,26.0,0.0,1,0.0004,68.8,0.9,50000.0,0.0,crecimiento,36.36,1.52,0.0,0.0
Cr_3d_altura_c007_s002_ed0.24_te50000._ep 2.0.dat,Cr,4.679087090448307,6.346715686085205,0.6820772908507684,-0.6851285513975642,4.288,19.0,0.0,6,0.0024,54.279999999999994,0.24,50000.0,0.0,coalescencia,12.0,0.0,0.0,0.0
Fe_3d_altura_c008_s002_ed0.51_te50000._ep 2.0.dat,Fe,4.896378482102869,6.55463195000299,0.8015720097106522,-0.41877011563037403,4.3576,21.0,0.0,14,0.0056,53.879999999999995,0.51,50000.0,0.0,coalescencia,14.280000000000001,0.04,0.0,0.0
Cr_3d_altura_c001_s005_ed0.22_te50000._ep 2.0.dat,Cr,9.42944151898722,18.16066078092975,-0.38123494195865454,-1.0849914426706748,15.5208,30.0,0.0,1,0.0004,83.91999999999999,0.22,50000.0,0.0,crecimiento,70.12,37.24,0.0,0.0
Cr_3d_altura_c002_s006_ed0.10_te50000._ep 2.0.dat,Cr,9.620219174218434,18.331895701208865,-0.3501508903347087,-1.141657838890307,15.6048,30.0,0.0,1,0.0004,83.72,0.1,50000.0,0.0,crecimiento,69.6,38.32,0.0,0.0
Fe_3d_altura_c003_s004_ed0.60_te50000._ep 2.0.dat,Fe,8.45338979581564,14.510299790149064,-0.062192181229045046,-1.2417385873572682,11.7936,30.0,0.0,1,0.0004,77.8,0.6,50000.0,0.0,crecimiento,57.08,17.52,0.0,0.0
Fe_3d_altura_c007_s002_ed0.55_te50000._ep 2.0.dat,Fe,4.697594550405558,6.30885092548556,0.7459110441271255,-0.5759503070403502,4.2112,20.0,0.0,4,0.0016,53.559999999999995,0.55,50000.0,0.0,coalescencia,12.44,0.0,0.0,0.0
Cr_3d_altura_c007_s003_ed0.24_te50000._ep 2.0.dat,Cr,6.577174238227235,10.062027628664115,0.2830132840401019,-1.1083832712377437,7.6148,25.0,0.0,1,0.0004,68.28,0.24,50000.0,0.0,crecimiento,36.4,1.96,0.0,0.0
Fe_3d_altura_c004_s005_ed0.76_te50000._ep 2.0.dat,Fe,9.399840883759682,17.961581222153022,-0.3491136005160564,-1.1135118096825554,15.3056,30.0,0.0,1,0.0004,83.72,0.76,50000.0,0.0,crecimiento,68.92,37.480000000000004,0.0,0.0
Fe_3d_altura_c009_s004_ed0.55_te50000._ep 2.0.dat,Fe,7.944437641520008,13.820057886998882,-0.11049826569338893,-1.1930513133291931,11.3084,30.0,0.0,1,0.0004,77.96,0.55,50000.0,0.0,crecimiento,57.440000000000005,12.72,0.0,0.0
Cr_3d_altura_c009_s006_ed0.25_te50000._ep 2.0.dat,Cr,9.545125801161554,17.753151832843653,-0.2868977843257816,-1.1846251819767917,14.9688,30.0,0.0,1,0.0004,82.48,0.25,50000.0,0.0,crecimiento,67.56,35.8,0.0,0.0
Cr_3d_altura_c006_s005_ed0.06_te50000._ep 2.0.dat,Cr,9.42150577349502,17.897027686182977,-0.34619416930690644,-1.1164401934059254,15.2164,30.0,0.0,1,0.0004,83.16,0.06,50000.0,0.0,crecimiento,69.56,35.52,0.0,0.0
Fe_3d_altura_c004_s006_ed0.76_te50000._ep 2.0.dat,Fe,9.399840883759682,17.961581222153022,-0.3491136005160564,-1.1135118096825554,15.3056,30.0,0.0,1,0.0004,83.72,0.76,50000.0,0.0,crecimiento,68.92,37.480000000000004,0.0,0.0
Fe_3d_altura_c003_s003_ed0.60_te50000._ep 2.0.dat,Fe,6.68498519370088,10.194292520817715,0.26554761081030553,-1.2104945267518852,7.6964,25.0,0.0,1,0.0004,68.04,0.6,50000.0,0.0,crecimiento,37.0,1.6400000000000001,0.0,0.0
Fe_3d_altura_c004_s002_ed0.76_te50000._ep 2.0.dat,Fe,4.633429468547028,6.283597695588094,0.6543504881880527,-0.800405382755601,4.2444,18.0,0.0,7,0.0028,53.959999999999994,0.76,50000.0,0.0,coalescencia,12.24,0.0,0.0,0.0
Fe_3d_altura_c008_s006_ed0.51_te50000._ep 2.0.dat,Fe,9.58197490291015,18.2427081322922,-0.35850996417046044,-1.1575028584384326,15.5236,30.0,0.0,1,0.0004,83.76,0.51,50000.0,0.0,crecimiento,69.12,39.08,0.0,0.0
Cr_3d_altura_c002_s001_ed0.10_te50000._ep 2.0.dat,Cr,2.602241833496649,3.07655651662699,1.3594985491791494,0.7765718546494047,1.6412,12.0,0.0,100,0.04,32.48,0.1,50000.0,0.0,coalescencia,0.4,0.0,0.0,0.0
Fe_3d_altura_c008_s001_ed0.51_te50000._ep 2.0.dat,Fe,2.642640467411335,3.112490963842305,1.4458197711207346,1.2065263683341971,1.6444,13.0,0.0,112,0.0448,32.24,0.51,50000.0,0.0,coalescencia,0.64,0.0,0.0,0.0
Fe_3d_altura_c010_s001_ed0.94_te50000._ep 2.0.dat,Fe,2.6587148474403945,3.1426740206391117,1.3448807810302463,0.6739341127385492,1.6756,13.0,0.0,98,0.0392,32.4,0.94,50000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Fe_3d_altura_c010_s002_ed0.94_te50000._ep 2.0.dat,Fe,4.756817406628091,6.4529373156726075,0.65771916661865,-0.8048766493582149,4.3604,19.0,0.0,6,0.0024,54.24,0.94,50000.0,0.0,coalescencia,13.320000000000002,0.0,0.0,0.0
Cr_3d_altura_c004_s005_ed0.10_te50000._ep 2.0.dat,Cr,9.506232263099823,18.02156485991158,-0.3284658366964894,-1.1272865386147355,15.3104,30.0,0.0,1,0.0004,83.2,0.1,50000.0,0.0,crecimiento,69.04,36.559999999999995,0.0,0.0
Fe_3d_altura_c001_s006_ed0.84_te50000._ep 2.0.dat,Fe,9.371279904047258,17.8961895385582,-0.33552531508838596,-1.1129843949866474,15.2464,30.0,0.0,1,0.0004,84.04,0.84,50000.0,0.0,crecimiento,69.19999999999999,36.04,0.0,0.0
Cr_3d_altura_c007_s005_ed0.24_te50000._ep 2.0.dat,Cr,9.668502088741564,18.298491741124458,-0.33387337319778754,-1.162335859746872,15.5356,30.0,0.0,1,0.0004,83.56,0.24,50000.0,0.0,crecimiento,68.8,38.519999999999996,0.0,0.0
Cr_3d_altura_c008_s001_ed0.08_te50000._ep 2.0.dat,Cr,2.571448743412942,3.0522778379433286,1.2767991926857982,0.39782470415892,1.6444,11.0,0.0,89,0.0356,32.68,0.08,50000.0,0.0,coalescencia,0.08,0.0,0.0,0.0
Fe_3d_altura_c008_s003_ed0.51_te50000._ep 2.0.dat,Fe,6.792954879873705,10.299650479506575,0.3218994197729774,-1.0781797881246122,7.742,27.0,0.0,1,0.0004,68.12,0.51,50000.0,0.0,crecimiento,38.279999999999994,2.48,0.0,0.0
Cr_3d_altura_c002_s005_ed0.10_te50000._ep 2.0.dat,Cr,9.620219174218434,18.331895701208865,-0.3501508903347087,-1.141657838890307,15.6048,30.0,0.0,1,0.0004,83.72,0.1,50000.0,0.0,crecimiento,69.6,38.32,0.0,0.0
Fe_3d_altura_c005_s001_ed0.90_te50000._ep 2.0.dat,Fe,2.632437987873599,3.1085044635644326,1.3552289718237303,0.729421581195207,1.6532,13.0,0.0,107,0.0428,32.2,0.9,50000.0,0.0,coalescencia,0.32,0.0,0.0,0.0
Fe_3d_altura_c009_s003_ed0.55_te50000._ep 2.0.dat,Fe,6.324395066723773,9.814580989527775,0.18697174956246665,-1.2390651336557779,7.5052,24.0,0.0,1,0.0004,68.92,0.55,50000.0,0.0,crecimiento,37.72,0.9199999999999999,0.0,0.0
Fe_3d_altura_c007_s001_ed0.55_te50000._ep 2.0.dat,Fe,2.566500340931207,3.0382231649436156,1.3291444463322188,0.643921801974777,1.626,12.0,0.0,107,0.0428,32.48,0.55,50000.0,0.0,coalescencia,0.27999999999999997,0.0,0.0,0.0
Fe_3d_altura_c002_s003_ed0.53_te50000._ep 2.0.dat,Fe,6.465690917450354,9.907128746513795,0.24437116949027568,-1.2093293971228611,7.5064,25.0,0.0,1,0.0004,68.32000000000001,0.53,50000.0,0.0,crecimiento,36.919999999999995,1.1199999999999999,0.0,0.0
Cr_3d_altura_c008_s003_ed0.08_te50000._ep 2.0.dat,Cr,6.608570181211666,9.996459373198093,0.34503287060161913,-1.0297319791762876,7.5004,26.0,0.0,1,0.0004,67.92,0.08,50000.0,0.0,crecimiento,35.96,2.16,0.0,0.0
Fe_3d_altura_c002_s004_ed0.53_te50000._ep 2.0.dat,Fe,8.112669193305,14.047761387495163,-0.06845088513556837,-1.180826846837282,11.4684,29.0,0.0,1,0.0004,78.32000000000001,0.53,50000.0,0.0,crecimiento,57.24,14.24,0.0,0.0
Cr_3d_altura_c010_s006_ed0.21_te50000._ep 2.0.dat,Cr,9.469008852039373,17.988351786642376,-0.3112032183806916,-1.1463592166402123,15.2944,30.0,0.0,1,0.0004,84.0,0.21,50000.0,0.0,crecimiento,68.2,36.68,0.0,0.0
Cr_3d_altura_c010_s005_ed0.21_te50000._ep 2.0.dat,Cr,9.469008852039373,17.988351786642376,-0.3112032183806916,-1.1463592166402123,15.2944,30.0,0.0,1,0.0004,84.0,0.21,50000.0,0.0,crecimiento,68.2,36.68,0.0,0.0
Fe_3d_altura_c008_s005_ed0.51_te50000._ep 2.0.dat,Fe,9.58197490291015,18.2427081322922,-0.35850996417046044,-1.1575028584384326,15.5236,30.0,0.0,1,0.0004,83.76,0.51,50000.0,0.0,crecimiento,69.12,39.08,0.0,0.0
Cr_3d_altura_c003_s006_ed0.06_te50000._ep 2.0.dat,Cr,9.612326844214152,18.09367845408998,-0.3161146832137894,-1.1860997571943024,15.3292,30.0,0.0,1,0.0004,83.6,0.06,50000.0,0.0,crecimiento,67.72,37.72,0.0,0.0
Cr_3d_altura_c004_s006_ed0.10_te50000._ep 2.0.dat,Cr,9.506232263099823,18.02156485991158,-0.3284658366964894,-1.1272865386147355,15.3104,30.0,0.0,1,0.0004,83.2,0.1,50000.0,0.0,crecimiento,69.04,36.559999999999995,0.0,0.0
Cr_3d_altura_c006_s006_ed0.06_te50000._ep 2.0.dat,Cr,9.42150577349502,17.897027686182977,-0.34619416930690644,-1.1164401934059254,15.2164,30.0,0.0,1,0.0004,83.16,0.06,50000.0,0.0,crecimiento,69.56,35.52,0.0,0.0
Cr_3d_altura_c003_s005_ed0.06_te50000._ep 2.0.dat,Cr,9.612326844214152,18.09367845408998,-0.3161146832137894,-1.1860997571943024,15.3292,30.0,0.0,1,0.0004,83.6,0.06,50000.0,0.0,crecimiento,67.72,37.72,0.0,0.0
Cr_3d_altura_c003_s004_ed0.06_te50000._ep 2.0.dat,Cr,8.295212874905623,14.166933330823577,-0.008961419316142081,-1.2048765687482228,11.4844,30.0,0.0,1,0.0004,78.28,0.06,50000.0,0.0,crecimiento,55.92,15.64,0.0,0.0
Fe_3d_altura_c002_s002_ed0.53_te50000._ep 2.0.dat,Fe,4.599288640648682,6.2365375008894155,0.681824384617263,-0.7273839699681535,4.212,20.0,0.0,4,0.0016,54.44,0.53,50000.0,0.0,coalescencia,12.6,0.0,0.0,0.0
Fe_3d_altura_c006_s004_ed0.66_te50000._ep 2.0.dat,Fe,8.088478037307143,13.852003465203147,-0.039544948604637475,-1.2128549837969278,11.2452,30.0,0.0,1,0.0004,77.72,0.66,50000.0,0.0,crecimiento,56.08,14.08,0.0,0.0
Cr_3d_altura_c001_s001_ed0.22_te50000._ep 2.0.dat,Cr,2.631832699850049,3.1120411308335885,1.3424544441435002,0.6488039877244365,1.6608,12.0,0.0,94,0.0376,32.48,0.22,50000.0,0.0,coalescencia,0.27999999999999997,0.0,0.0,0.0
Cr_3d_altura_c010_s002_ed0.21_te50000._ep 2.0.dat,Cr,4.652311580279205,6.283534037466495,0.6716784470300333,-0.8050237553913959,4.2236,17.0,0.0,10,0.004,53.64,0.21,50000.0,0.0,coalescencia,13.0,0.0,0.0,0.0
Cr_3d_altura_c008_s006_ed0.08_te50000._ep 2.0.dat,Cr,9.547367478001462,18.21569652799475,-0.37378359529804617,-1.132471246163646,15.5132,30.0,0.0,1,0.0004,83.36,0.08,50000.0,0.0,crecimiento,69.6,38.24,0.0,0.0
Cr_3d_altura_c006_s004_ed0.06_te50000._ep 2.0.dat,Cr,8.192250103604016,13.89798546552701,-0.043424258887741984,-1.2097552031138437,11.2268,30.0,0.0,1,0.0004,76.2,0.06,50000.0,0.0,crecimiento,56.24,13.88,0.0,0.0
Fe_3d_altura_c007_s004_ed0.55_te50000._ep 2.0.dat,Fe,8.381521188901212,14.431728933152812,-0.05969665515970385,-1.2188094959091411,11.7484,30.0,0.0,1,0.0004,78.24,0.55,50000.0,0.0,crecimiento,58.040000000000006,17.16,0.0,0.0
Fe_3d_altura_c006_s006_ed0.66_te50000._ep 2.0.dat,Fe,9.440072025148961,17.97824240575257,-0.34561871422506535,-1.1435554778437862,15.3004,30.0,0.0,1,0.0004,83.8,0.66,50000.0,0.0,crecimiento,69.16,37.2,0.0,0.0
Fe_3d_altura_c006_s001_ed0.66_te50000._ep 2.0.dat,Fe,2.589031757240533,3.0763614872118006,1.2877191898728462,0.4887521747301098,1.6616,11.0,0.0,87,0.0348,32.96,0.66,50000.0,0.0,coalescencia,0.24,0.0,0.0,0.0
Fe_3d_altura_c005_s005_ed0.90_te50000._ep 2.0.dat,Fe,9.540569534362191,18.11274689272723,-0.3247671574763275,-1.13610791057553,15.3964,30.0,0.0,1,0.0004,83.56,0.9,50000.0,0.0,crecimiento,68.8,37.16,0.0,0.0
Fe_3d_altura_c004_s003_ed0.76_te50000._ep 2.0.dat,Fe,6.506453411805851,9.922902801096058,0.26729525115884384,-1.1499087783834199,7.492,26.0,0.0,1,0.0004,67.64,0.76,50000.0,0.0,crecimiento,36.559999999999995,1.5599999999999998,0.0,0.0
Fe_3d_altura_c004_s001_ed0.76_te50000._ep 2.0.dat,Fe,2.6349713015514986,3.132091952673165,1.2954327397293621,0.5053910485782618,1.6932,12.0,0.0,87,0.0348,33.239999999999995,0.76,50000.0,0.0,coalescencia,0.2,0.0,0.0,0.0
Cr_3d_altura_c009_s005_ed0.25_te50000._ep 2.0.dat,Cr,9.545125801161554,17.753151832843653,-0.2868977843257816,-1.1846251819767917,14.9688,30.0,0.0,1,0.0004,82.48,0.25,50000.0,0.0,crecimiento,67.56,35.8,0.0,0.0
Fe_3d_altura_c009_s006_ed0.55_te50000._ep 2.0.dat,Fe,9.066366363654184,17.70405603244635,-0.39888025873812877,-1.01925273320342,15.2064,30.0,0.0,1,0.0004,84.44,0.55,50000.0,0.0,crecimiento,70.92,34.72,0.0,0.0
Cr_3d_altura_c001_s002_ed0.22_te50000._ep 2.0.dat,Cr,4.676270582419285,6.2646947252040945,0.7409533256436162,-0.6106341776180617,4.1688,20.0,0.0,5,0.002,53.12,0.22,50000.0,0.0,coalescencia,12.520000000000001,0.0,0.0,0.0
Fe_3d_altura_c003_s005_ed0.60_te50000._ep 2.0.dat,Fe,9.656386893657482,18.466347771013087,-0.37028848732631164,-1.143157687725492,15.7404,30.0,0.0,1,0.0004,83.8,0.6,50000.0,0.0,crecimiento,69.19999999999999,39.879999999999995,0.0,0.0
Fe_3d_altura_c004_s004_ed0.76_te50000._ep 2.0.dat,Fe,8.254536876166949,14.039415942267684,-0.00712847248061069,-1.1844481974601737,11.3564,30.0,0.0,1,0.0004,77.36,0.76,50000.0,0.0,crecimiento,55.52,15.120000000000001,0.0,0.0
